time_period_start,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,previous_day_price_close,daily_return_in_percentage,daily_squared_return_in_percentage
2018-12-14,8.933e-05,9.107e-05,8.868e-05,9.059999999999999e-05,2018-12-14T23:58:19.8070000Z,2018-12-14T00:00:00.5200000Z,2018-12-15T00:00:00.0000000Z,2018-12-14T00:00:00.0000000Z,3558,4155267.79424979,,,
2018-12-15,8.864e-05,8.977e-05,8.781e-05,8.933e-05,2018-12-15T23:58:17.0730000Z,2018-12-15T00:00:22.1400000Z,2018-12-16T00:00:00.0000000Z,2018-12-15T00:00:00.0000000Z,2174,1693756.4533508,8.933e-05,-0.7754154714774586,0.6012691534066094
2018-12-16,8.883e-05,9.028e-05,8.833e-05,8.842e-05,2018-12-16T23:59:40.9170000Z,2018-12-16T00:00:32.7970000Z,2018-12-17T00:00:00.0000000Z,2018-12-16T00:00:00.0000000Z,2594,2322248.91411224,8.864e-05,0.21412077826354903,0.04584770768418793
2018-12-17,9.32e-05,9.499999999999999e-05,8.814e-05,8.877e-05,2018-12-17T23:59:43.8930000Z,2018-12-17T00:00:43.9030000Z,2018-12-18T00:00:00.0000000Z,2018-12-17T00:00:00.0000000Z,6842,5749389.42804264,8.883e-05,4.802329090993673,23.06236469820412
2018-12-18,9.559999999999999e-05,9.657e-05,8.499999999999999e-05,9.319e-05,2018-12-18T23:59:51.6570000Z,2018-12-18T00:00:07.4700000Z,2018-12-19T00:00:00.0000000Z,2018-12-18T00:00:00.0000000Z,7094,7558849.78023036,9.32e-05,2.5425098365809973,6.464356269111129
2018-12-19,9.438e-05,0.00010032,9.350000000000001e-05,9.567e-05,2018-12-19T23:59:02.4300000Z,2018-12-19T00:00:13.3130000Z,2018-12-20T00:00:00.0000000Z,2018-12-19T00:00:00.0000000Z,10283,7387944.93734649,9.559999999999999e-05,-1.284363375911468,1.649589281382703
2018-12-20,9.191e-05,9.582e-05,9.1e-05,9.426e-05,2018-12-20T23:58:57.3070000Z,2018-12-20T00:00:07.6830000Z,2018-12-21T00:00:00.0000000Z,2018-12-20T00:00:00.0000000Z,6328,4504605.42494334,9.438e-05,-2.651934892822183,7.032758675767804
2018-12-21,9.226e-05,9.358e-05,9.05e-05,9.191e-05,2018-12-21T23:59:05.2500000Z,2018-12-21T00:00:01.8100000Z,2018-12-22T00:00:00.0000000Z,2018-12-21T00:00:00.0000000Z,5942,5195548.05373037,9.191e-05,0.3800840759655699,0.14446390480260113
2018-12-22,9.04e-05,9.277e-05,9.035e-05,9.226e-05,2018-12-22T23:59:54.4900000Z,2018-12-22T00:00:52.1300000Z,2018-12-23T00:00:00.0000000Z,2018-12-22T00:00:00.0000000Z,3119,1738981.33523181,9.226e-05,-2.0366410731543994,4.1479068608595036
2018-12-23,9.329999999999999e-05,9.406e-05,9.011e-05,9.059999999999999e-05,2018-12-23T23:59:47.7700000Z,2018-12-23T00:00:12.6130000Z,2018-12-24T00:00:00.0000000Z,2018-12-23T00:00:00.0000000Z,4021,2735500.19095522,9.04e-05,3.1575840455166926,9.970337004501562
2018-12-24,0.0001,0.00010700000000000001,9.081e-05,9.329999999999999e-05,2018-12-24T23:59:46.6970000Z,2018-12-24T00:00:14.6300000Z,2018-12-25T00:00:00.0000000Z,2018-12-24T00:00:00.0000000Z,15885,11911990.86458621,9.329999999999999e-05,6.935007813479466,48.09433337302124
2018-12-25,0.00010058,0.00010189,9.721e-05,9.996e-05,2018-12-25T23:59:39.2830000Z,2018-12-25T00:00:22.5430000Z,2018-12-26T00:00:00.0000000Z,2018-12-25T00:00:00.0000000Z,5400,5022774.45115016,0.0001,0.5783244755726002,0.3344591990463231
2018-12-26,9.855e-05,0.00010183,9.65e-05,0.00010051,2018-12-26T23:59:17.4500000Z,2018-12-26T00:00:22.7400000Z,2018-12-27T00:00:00.0000000Z,2018-12-26T00:00:00.0000000Z,3935,3096804.14755502,0.00010058,-2.0389397145089916,4.157275159402008
2018-12-27,9.361e-05,9.86e-05,9.216e-05,9.86e-05,2018-12-27T23:57:32.6630000Z,2018-12-27T00:00:48.5130000Z,2018-12-28T00:00:00.0000000Z,2018-12-27T00:00:00.0000000Z,5565,4873176.92430652,9.855e-05,-5.142681821507544,26.447176317264155
2018-12-28,9.642e-05,9.790000000000001e-05,9.259999999999999e-05,9.356e-05,2018-12-28T23:59:10.0970000Z,2018-12-28T00:00:02.6570000Z,2018-12-29T00:00:00.0000000Z,2018-12-28T00:00:00.0000000Z,6163,5576101.37768886,9.361e-05,2.957643359382267,8.747654241298022
2018-12-29,9.657e-05,9.789e-05,9.499999999999999e-05,9.642e-05,2018-12-29T23:59:55.0730000Z,2018-12-29T00:01:01.1500000Z,2018-12-30T00:00:00.0000000Z,2018-12-29T00:00:00.0000000Z,3327,3140863.60827968,9.642e-05,0.15544850013515799,0.024164236194270213
2018-12-30,9.581e-05,9.644e-05,9.499999999999999e-05,9.623e-05,2018-12-30T23:59:56.3770000Z,2018-12-30T00:00:29.8570000Z,2018-12-31T00:00:00.0000000Z,2018-12-30T00:00:00.0000000Z,2678,3295887.2052723,9.657e-05,-0.7901070316044922,0.6242691213908621
2018-12-31,9.434e-05,9.712e-05,9.346e-05,9.570000000000001e-05,2018-12-31T23:59:59.7570000Z,2018-12-31T00:00:12.5170000Z,2019-01-01T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,4865,5608295.92378415,9.581e-05,-1.5461785806666128,2.3906682033122215
2019-01-01,9.496e-05,9.620000000000001e-05,9.381e-05,9.421e-05,2019-01-01T23:58:56.7530000Z,2019-01-01T00:01:15.2600000Z,2019-01-02T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,2149,1132536.89759113,9.434e-05,0.6550472445296052,0.4290868925658283
2019-01-02,9.562e-05,9.7e-05,9.423e-05,9.496e-05,2019-01-02T23:59:43.6330000Z,2019-01-02T00:00:54.1970000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T00:00:00.0000000Z,3009,2890562.04497695,9.496e-05,0.6926252896544582,0.4797297918689222
2019-01-03,9.376e-05,9.563e-05,9.302e-05,9.562e-05,2019-01-03T23:58:13.7830000Z,2019-01-03T00:00:13.3370000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,2680,2196082.70220739,9.562e-05,-1.964367736925432,3.858740605873543
2019-01-04,9.322e-05,9.429999999999999e-05,9.271e-05,9.368e-05,2019-01-04T23:59:20.2930000Z,2019-01-04T00:02:16.1830000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,2641,1963020.13651487,9.376e-05,-0.5776034884107162,0.33362578982422836
2019-01-05,9.242e-05,9.4e-05,9.2e-05,9.308e-05,2019-01-05T23:58:58.2500000Z,2019-01-05T00:01:15.8000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,2778,1793119.25744004,9.322e-05,-0.8618885502475138,0.742851873047761
