,exchange,quote_base,quote,base,mean,min,max,sd,skew,kurt,obs
0,BINANCE,ADA_BTC,ADA,BTC,64.23740601068255,34.09605162257553,93.19582011066743,20.5391978511657,-0.11693779481072676,-0.07834988785381913,6
1,BITTREX,ADA_BTC,ADA,BTC,64.76545986995492,34.92038093721472,92.82780832162996,20.474570559651486,-0.1532407781832439,-0.41913857255697096,6
2,GATEIO,ADA_BTC,ADA,BTC,63.88020211063196,31.738448166450116,93.62112281187677,21.86893536132538,-0.20438499803778984,-0.35889598401969636,6
3,KRAKEN,ADA_BTC,ADA,BTC,64.47181674641077,33.85359238286403,93.9417462518263,20.96603808009853,-0.10852879458777628,-0.1549385896942823,6
4,BITFLYER,BCH_BTC,BCH,BTC,98.17962878095302,53.19025768896115,162.29204200187215,45.97077806523302,0.3223786781323578,-2.0716609707608917,6
5,BITSTAMP,BCH_BTC,BCH,BTC,82.0245465667173,42.234840989569015,158.62914188600936,46.36949177931326,1.1270034008971634,-0.1109655132978542,6
6,BITTREX,BCH_BTC,BCH,BTC,82.63470457938396,40.249843831818175,159.78360321098802,47.527774528920595,1.0382159964486757,-0.33079578022198763,6
7,COINBASE,BCH_BTC,BCH,BTC,82.42767093179262,40.82592985939764,157.5434440367028,46.53616188688507,1.008991634257623,-0.39723375134604755,6
8,GATEIO,BCH_BTC,BCH,BTC,83.68806376574007,40.68230948610162,157.4403056100028,45.49865903723697,0.9989857028318601,-0.3081711843045367,6
9,KRAKEN,BCH_BTC,BCH,BTC,82.22281103124347,40.429877841397854,157.0152287587527,46.483902054183844,1.0036938046821438,-0.445422492916669,6
10,BITFINEX,BCHSV_BTC,BCHSV,BTC,108.54674549217266,40.42737030371208,287.33748925580863,89.89740590190372,2.1690489891662823,4.9961082905928915,6
11,BITTREX,BCHSV_BTC,BCHSV,BTC,109.30405459873377,41.82420649165684,290.5117847302633,91.05667532329261,2.1774678195317514,5.009709769486536,6
12,POLONIEX,BCHSV_BTC,BCHSV,BTC,107.6110478377022,41.48197654798765,288.5863844700901,90.73185678497305,2.200462876517995,5.096396050682403,6
13,BINANCE,EOS_BTC,EOS,BTC,71.06160149896282,48.331880726186746,89.18445002582897,19.890478798906173,-0.19656317171794555,-2.8486505643944695,6
14,BITFINEX,EOS_BTC,EOS,BTC,71.23612365206431,48.83327006318622,90.21621778562945,19.648450501593082,-0.200726934987564,-2.7812859976611315,6
15,GATEIO,EOS_BTC,EOS,BTC,72.11081930306922,50.32687678298313,91.05003827921125,18.200102852965166,-0.17934151866891737,-2.715320893865231,6
16,POLONIEX,EOS_BTC,EOS,BTC,70.83354433749207,47.286123041793786,89.06212640726477,19.85694126913329,-0.2600773918026241,-2.711715294064445,6
17,BINANCE,ETH_BTC,ETH,BTC,52.40288720906293,27.086435444869142,86.0524256534192,21.856090566711387,0.5814050281070946,-0.5194083993966041,6
18,BITFINEX,ETH_BTC,ETH,BTC,52.69806095578962,28.321139095859877,86.46464435257886,21.723601419873305,0.6161946482832152,-0.46774776557257525,6
19,BITFLYER,ETH_BTC,ETH,BTC,57.08519139078496,36.86388542194297,95.71057261702943,23.12747900522961,1.1294245201901276,0.10306649928357725,6
20,BITSTAMP,ETH_BTC,ETH,BTC,52.85758708949238,28.25820057310546,86.77207414311066,21.52794985471239,0.6502935489040838,-0.2591405574539225,6
21,BITTREX,ETH_BTC,ETH,BTC,52.735874079026075,27.965029636390803,86.31235464408357,21.95877042499062,0.5472333604992824,-0.6469093168144715,6
22,COINBASE,ETH_BTC,ETH,BTC,52.30190922417493,27.525146824187612,85.59896992930135,21.73569658938754,0.5783849581585973,-0.6208984058279352,6
23,GATEIO,ETH_BTC,ETH,BTC,52.63887868311554,27.70483300145122,86.86613972398436,22.166940314419296,0.6221239695595311,-0.5666371340372853,6
24,GEMINI,ETH_BTC,ETH,BTC,52.458934130868215,27.69860281009658,88.28639778170901,23.094806362521556,0.6939197043545487,-0.6157954401603822,6
25,KRAKEN,ETH_BTC,ETH,BTC,52.82413273008407,27.745837603033138,86.73375452497811,21.98900307936482,0.597680316826437,-0.5417628968441432,6
26,POLONIEX,ETH_BTC,ETH,BTC,52.57773693907774,26.751212310727976,86.40647478267391,22.16081579943455,0.54320771285923,-0.5908003501552699,6
