,exchange,quote_base,quote,base,mean,min,max,sd,skew,kurt,obs
0,BINANCE,ADA_BTC,ADA,BTC,0.08936801171216213,-8.390461098263557,13.138546905424597,3.4458079321618804,0.5178301855659919,1.1934146734335003,183
1,BITTREX,ADA_BTC,ADA,BTC,0.09282148736170133,-8.110169326440086,12.937394011310488,3.4713382062849187,0.5065274527902367,1.123421554914128,183
2,GATEIO,ADA_BTC,ADA,BTC,0.09847120200387566,-8.096077062532636,12.585717118464501,3.4480111400287488,0.56624113232192,0.9591834281275138,183
3,KRAKEN,ADA_BTC,ADA,BTC,0.09147785250858896,-8.547692832274123,12.976490982904565,3.4633265688949275,0.5275658479312854,1.2388818799807502,183
4,BITFLYER,BCH_BTC,BCH,BTC,0.3508548581041689,-13.624931314835731,33.873073260226946,5.519131536926713,2.152757250356926,9.664747844967815,183
5,BITSTAMP,BCH_BTC,BCH,BTC,0.35826263034688494,-10.654596138795558,31.924994049472623,4.775173713528316,2.6976293849231694,13.561135630872146,183
6,BITTREX,BCH_BTC,BCH,BTC,0.3616363086073347,-11.136853815062597,32.05642980712358,4.826481401437715,2.6611643659436712,13.19332837854209,183
7,COINBASE,BCH_BTC,BCH,BTC,0.3583407042222552,-10.833243083150856,31.64563669742946,4.79440137743517,2.6472655200753956,13.023743256501474,183
8,GATEIO,BCH_BTC,BCH,BTC,0.35685189996135236,-11.12256351102241,26.17248101133982,4.8311407945942735,2.261441743152424,9.367330467266568,183
9,KRAKEN,BCH_BTC,BCH,BTC,0.3583574766413758,-10.3365332631431,31.877191534988782,4.7847378059364765,2.7193818871292073,13.46163217973738,183
10,BITFINEX,BCHSV_BTC,BCHSV,BTC,0.04754510878939098,-16.691624371171354,53.5615960091441,7.065030582824058,4.824164714724361,33.36310446920225,183
11,BITTREX,BCHSV_BTC,BCHSV,BTC,0.047044409361678516,-16.09316327179755,53.99970432731909,7.128084858151025,4.8168674466030925,33.239362346782485,183
12,POLONIEX,BCHSV_BTC,BCHSV,BTC,0.05193876504659933,-16.934996864488827,53.952718545397225,7.050186156853368,4.860697477929433,33.81952374075613,183
13,BINANCE,EOS_BTC,EOS,BTC,0.17836492697259831,-10.359699348117868,13.81706085182568,3.770492669431559,0.9164287069614824,2.8572417553961045,183
14,BITFINEX,EOS_BTC,EOS,BTC,0.17682930650453488,-10.40407494751916,13.669427064099882,3.774282914885152,0.8915112494345383,2.836913673161354,183
15,GATEIO,EOS_BTC,EOS,BTC,0.18251341164669918,-10.404298511698329,14.767251181382779,3.8082568955985887,0.9267320692448718,2.9726233614472153,183
16,POLONIEX,EOS_BTC,EOS,BTC,0.17886503753164346,-9.972175877437017,14.065547222769403,3.758684545964788,0.9659962791899281,2.980649072292938,183
17,BINANCE,ETH_BTC,ETH,BTC,0.08541703558076949,-8.182354348222098,11.858656819603342,2.8853581756763433,1.1402151726040275,3.8872598351751866,183
18,BITFINEX,ETH_BTC,ETH,BTC,0.08664499447224601,-8.243653062178868,11.904815437282634,2.8974065144502763,1.1334745026914144,3.8069218917628285,183
19,BITFLYER,ETH_BTC,ETH,BTC,0.08525758572998535,-8.613991723948855,11.839536804952866,3.1393146701456676,1.0193755202358377,3.185630085718015,183
20,BITSTAMP,ETH_BTC,ETH,BTC,0.08597400321715735,-8.272392438643505,12.27344835938795,2.902026619608128,1.1883562824788463,4.061668951365817,183
21,BITTREX,ETH_BTC,ETH,BTC,0.0853391832336754,-8.141229978305642,12.0257925504613,2.9019791906671437,1.1886321518055263,3.9438551010707994,183
22,COINBASE,ETH_BTC,ETH,BTC,0.08585551757908338,-8.246203732647617,11.949683213411832,2.878098390590443,1.1475824155003838,3.8438929672976934,183
23,GATEIO,ETH_BTC,ETH,BTC,0.08655248860928474,-8.225076394824704,11.893271923937787,2.9019916219785413,1.1582505963908274,4.078281786935618,183
24,GEMINI,ETH_BTC,ETH,BTC,0.08793153438569795,-7.626198483363034,12.321263642314717,2.9101951591588264,1.2098161939312995,4.071557954521616,183
25,KRAKEN,ETH_BTC,ETH,BTC,0.08564522391190012,-8.291664825387324,11.919237178772635,2.9077833617789612,1.1699123137582217,3.9490751805898863,183
26,POLONIEX,ETH_BTC,ETH,BTC,0.0849543209206219,-8.148691234522643,11.701814035031832,2.8989192564117934,1.1598572188611984,3.8522342236795706,183
27,QUOINE,ETH_BTC,ETH,BTC,0.08656792619736137,-8.188272407087016,12.598263483789163,2.9077064898234415,1.2211190020853164,4.081494953879853,183
28,BINANCE,LTC_BTC,LTC,BTC,0.4203539430538045,-8.040616574099158,18.356456503355112,3.543003514121397,1.1054061983977965,3.571744921891631,183
29,BITFINEX,LTC_BTC,LTC,BTC,0.4205579360374549,-8.168852766321155,18.736737814892646,3.5612840337648057,1.11043781181853,3.7527651952184917,183
30,BITSTAMP,LTC_BTC,LTC,BTC,0.4215718412795901,-7.880719086852395,18.583797139963032,3.599561663010432,1.075121243199614,3.4160177838769905,183
31,BITTREX,LTC_BTC,LTC,BTC,0.41987591416816245,-7.713367309767438,18.89888675523448,3.5572671297905085,1.1870276207528425,3.925535603245391,183
32,COINBASE,LTC_BTC,LTC,BTC,0.4198308896883691,-7.963126969200651,18.828663626243003,3.5370642318565797,1.1569720343697902,3.872273695952115,183
33,GATEIO,LTC_BTC,LTC,BTC,0.4231032997178682,-8.599972870045036,18.50748344216715,3.597281993562236,1.024700543126339,3.3341831055869116,183
34,GEMINI,LTC_BTC,LTC,BTC,0.41832344573258823,-10.975731039407943,17.114825619582952,3.6994423385758606,0.7473603885410939,2.417853929476689,183
35,KRAKEN,LTC_BTC,LTC,BTC,0.418455277959999,-7.922557671889052,18.615836927672902,3.565675638978387,1.119630261990695,3.6214759072880356,183
36,POLONIEX,LTC_BTC,LTC,BTC,0.4203185597268573,-7.950048693391576,18.549437539406366,3.5520527344436887,1.1038831298989096,3.616490148639594,183
37,BITTREX,PAX_BTC,PAX,BTC,-0.5510875072827096,-18.020035135167056,10.0908098854406,3.4994921519824707,-1.0797571264880708,5.285388217722669,183
38,BINANCE,TRX_BTC,TRX,BTC,-0.03286822223524434,-9.19013622838225,20.391218938632072,3.997772908091471,1.431759290112237,4.834578352624634,183
