,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
13,2019-05-22,2019-05-22T08:24:25.1584527Z,2017-09-21T13:36:45.5891048Z,2019-05-22T11:45:23.1352353Z,2017-09-21T13:36:45.5891048Z,2017-09-20,9,63129447.0,2019-05-22T11:39:56.0000000Z,2017-09-20T13:37:21.0000000Z,COINONE,coinone,https://coinone.co.kr/
14,2019-05-22,2019-05-22T08:25:47.9979955Z,2017-12-18T21:01:51.6121385Z,2019-05-22T11:48:13.9527972Z,2017-12-18T21:01:51.6121385Z,2017-12-01,1063,53093223.0,2019-05-22T12:55:17.9556849Z,2017-12-01T15:26:32.0000000Z,OKEX,OKEx,https://www.okex.com/
15,2019-05-22,2019-05-22T08:23:44.2269015Z,2014-02-24T17:43:05.0000000Z,2019-05-22T11:48:35.4183894Z,2014-02-24T17:43:05.0000000Z,2011-09-13,15,51653022.0,2019-05-22T13:02:47.0000000Z,2011-09-13T13:53:36.0000000Z,BITSTAMP,Bitstamp Ltd.,https://www.bitstamp.net/
16,2019-05-22,2019-05-22T08:14:17.8273117Z,2015-02-15T12:53:46.6330000Z,2019-05-22T10:55:36.4467478Z,2015-02-15T12:53:46.6330000Z,2015-02-14,5,20120699.0,2019-05-22T11:42:39.0000000Z,2015-02-14T16:15:05.5900000Z,OKCOIN_USD,OKCoin USD,https://www.okcoin.com/
17,2019-02-06,2019-02-06T00:00:00.0000000Z,2015-05-17T14:57:14.3470000Z,2019-02-06T00:00:00.0000000Z,2015-05-17T14:57:14.3470000Z,2015-05-17,6,19595199.0,2018-03-09T00:00:00.0000000Z,2015-05-17T15:04:12.0000000Z,BTCTRADE,BTCTRADE,https://www.btctrade.com/
18,2019-05-22,2019-05-22T08:26:38.7574856Z,2017-12-28T21:49:04.6063124Z,2019-05-22T11:48:39.4883496Z,2017-12-28T21:49:04.6063124Z,2017-12-28,446,11908398.0,2019-05-22T13:02:49.0000000Z,2017-12-28T17:33:30.0000000Z,GATEIO,Gate.io,https://gate.io/
19,2019-05-22,2019-05-22T08:01:54.3165037Z,2014-11-22T16:58:47.8820780Z,2019-05-22T10:49:53.2161947Z,2014-11-22T16:58:47.8820780Z,2014-11-22,196,11274964.0,2019-05-22T13:02:00.0000000Z,2014-11-22T17:51:38.9484710Z,BITMEX,BitMEX,https://www.bitmex.com/
20,2019-05-22,2019-05-22T08:24:53.7770000Z,2017-03-18T22:53:42.0948480Z,2019-05-22T11:47:49.8540000Z,2017-03-18T22:53:42.0948480Z,2015-10-08,15,9795377.0,2019-05-22T13:03:28.9360000Z,2015-10-08T13:40:07.8010000Z,GEMINI,Gemini,https://gemini.com/
21,2019-05-22,2019-05-22T08:26:33.2338703Z,2018-01-24T00:22:08.7776711Z,2019-05-22T11:48:24.8360480Z,2018-01-24T00:22:08.7776711Z,2018-01-24,552,8824606.0,2019-05-22T13:03:36.8400000Z,2018-01-24T15:12:15.0000000Z,KUCOIN,Kucoin,https://kucoin.com/
22,2019-05-22,2019-05-22T08:26:01.4069644Z,2017-08-29T15:53:54.7372595Z,2019-05-22T11:47:31.3614011Z,2017-08-29T15:53:54.7372595Z,2017-05-22,374,6119590.0,2019-05-22T13:00:37.0000000Z,2017-05-22T18:21:41.0000000Z,QUOINE,Liquid (QUOINEX & QRYPTOS),https://www.liquid.com/
