,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.06356026000000001,0.06459909999999999,0.06354088000000001,0.06374432000000001,2018-08-20T14:56:31.9170000Z,2018-08-20T14:19:07.1870000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,15,21.26145868
1,0.06479973,0.06480162,0.06396202,0.06447843,2018-08-20T15:42:02.3800000Z,2018-08-20T15:10:02.5100000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,13,18.09603239
2,0.06470865,0.06480277,0.06470865,0.06479489000000001,2018-08-20T16:47:54.4570000Z,2018-08-20T16:08:06.4430000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,7,7.02759406
3,0.06330001,0.06435496,0.06330001,0.06398692,2018-08-20T17:45:36.2900000Z,2018-08-20T17:26:28.7900000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,23,59.22080271
4,0.06428968,0.06428968,0.06428968,0.06428968,2018-08-20T18:54:13.7430000Z,2018-08-20T18:54:13.7430000Z,2018-08-20T19:00:00.0000000Z,2018-08-20T18:00:00.0000000Z,2,34.66824097
5,0.06428939,0.06428939,0.06428939,0.06428939,2018-08-20T19:54:41.6100000Z,2018-08-20T19:54:41.6100000Z,2018-08-20T20:00:00.0000000Z,2018-08-20T19:00:00.0000000Z,2,3.98718049
6,0.06370001,0.06428939,0.06370001,0.06404414,2018-08-20T21:28:17.9800000Z,2018-08-20T21:02:22.0770000Z,2018-08-20T22:00:00.0000000Z,2018-08-20T21:00:00.0000000Z,34,67.30703752
7,0.06428887,0.06428939,0.06329811,0.06371397,2018-08-20T22:58:00.4270000Z,2018-08-20T22:06:56.9400000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,64,254.7181338
8,0.06340239,0.06384856,0.06270001,0.0634,2018-08-20T23:49:17.7930000Z,2018-08-20T23:01:59.1830000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,63,144.59907375
9,0.06349698,0.06401517,0.06310578,0.06340239,2018-08-21T00:58:18.4930000Z,2018-08-21T00:01:11.6000000Z,2018-08-21T01:00:00.0000000Z,2018-08-21T00:00:00.0000000Z,8,27.9896016
10,0.06359902,0.06428865,0.06359902,0.06401517,2018-08-21T01:41:47.4800000Z,2018-08-21T01:09:04.6270000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,13,18.78912766
11,0.06265745,0.06335829999999999,0.06265745,0.06332,2018-08-21T02:21:46.2630000Z,2018-08-21T02:00:34.5400000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,37,165.00421589
12,0.06312649000000001,0.06312664,0.063,0.063,2018-08-21T03:43:23.6830000Z,2018-08-21T03:15:26.4000000Z,2018-08-21T04:00:00.0000000Z,2018-08-21T03:00:00.0000000Z,9,29.86478849
13,0.0623,0.06304513,0.0623,0.06285,2018-08-21T04:59:53.7900000Z,2018-08-21T04:03:05.3370000Z,2018-08-21T05:00:00.0000000Z,2018-08-21T04:00:00.0000000Z,57,231.48924399
14,0.062488699999999994,0.062488699999999994,0.0623,0.0623,2018-08-21T05:24:09.7070000Z,2018-08-21T05:03:04.0930000Z,2018-08-21T06:00:00.0000000Z,2018-08-21T05:00:00.0000000Z,6,60.3904578
15,0.06428939,0.06428939,0.063,0.063,2018-08-21T06:57:40.5200000Z,2018-08-21T06:07:55.5270000Z,2018-08-21T07:00:00.0000000Z,2018-08-21T06:00:00.0000000Z,32,99.42580154
16,0.06340144,0.06428939,0.06340144,0.06428939,2018-08-21T07:50:44.9170000Z,2018-08-21T07:00:44.9170000Z,2018-08-21T08:00:00.0000000Z,2018-08-21T07:00:00.0000000Z,9,11.73549673
17,0.06317928,0.06430000000000001,0.06317928,0.06423568,2018-08-21T08:53:42.1030000Z,2018-08-21T08:03:54.1330000Z,2018-08-21T09:00:00.0000000Z,2018-08-21T08:00:00.0000000Z,11,41.61099603
18,0.06290049,0.06414552,0.06290049,0.06414552,2018-08-21T09:34:40.9430000Z,2018-08-21T09:13:10.7070000Z,2018-08-21T10:00:00.0000000Z,2018-08-21T09:00:00.0000000Z,4,5.8926943
19,0.06396608,0.06396608,0.06281592,0.06281592,2018-08-21T10:52:39.7800000Z,2018-08-21T10:00:56.3000000Z,2018-08-21T11:00:00.0000000Z,2018-08-21T10:00:00.0000000Z,8,17.26723332
20,0.06310329,0.06395964,0.06310329,0.06395963,2018-08-21T11:52:51.7030000Z,2018-08-21T11:14:21.3170000Z,2018-08-21T12:00:00.0000000Z,2018-08-21T11:00:00.0000000Z,5,18.58682747
21,0.06315455,0.06315455,0.06310329,0.06310329,2018-08-21T12:34:28.5530000Z,2018-08-21T12:05:44.3130000Z,2018-08-21T13:00:00.0000000Z,2018-08-21T12:00:00.0000000Z,14,86.31307494
22,0.06382504,0.06389476,0.06319001,0.06319001,2018-08-21T13:46:49.7170000Z,2018-08-21T13:06:41.1100000Z,2018-08-21T14:00:00.0000000Z,2018-08-21T13:00:00.0000000Z,11,44.58311382
23,0.06315455,0.06363477000000001,0.06282035,0.06363477000000001,2018-08-21T14:12:45.7770000Z,2018-08-21T14:00:17.1570000Z,2018-08-21T15:00:00.0000000Z,2018-08-21T14:00:00.0000000Z,16,50.67850726
24,0.06353282,0.06353282,0.06353282,0.06353282,2018-08-21T15:04:30.4370000Z,2018-08-21T15:04:30.4370000Z,2018-08-21T16:00:00.0000000Z,2018-08-21T15:00:00.0000000Z,1,31.40109317
25,0.06335946,0.06335946,0.06281136,0.06304125000000001,2018-08-21T16:39:38.2770000Z,2018-08-21T16:02:58.0330000Z,2018-08-21T17:00:00.0000000Z,2018-08-21T16:00:00.0000000Z,35,336.29154522
26,0.0629,0.06340807,0.0629,0.06340807,2018-08-21T17:40:02.3970000Z,2018-08-21T17:07:00.4000000Z,2018-08-21T18:00:00.0000000Z,2018-08-21T17:00:00.0000000Z,7,1.89747964
27,0.0634,0.0634,0.0634,0.0634,2018-08-21T19:51:34.5630000Z,2018-08-21T19:51:34.5630000Z,2018-08-21T20:00:00.0000000Z,2018-08-21T19:00:00.0000000Z,1,2.0
28,0.06360178,0.06360178,0.06320931,0.06320931,2018-08-21T20:30:45.4870000Z,2018-08-21T20:09:09.6830000Z,2018-08-21T21:00:00.0000000Z,2018-08-21T20:00:00.0000000Z,3,1.80843497
29,0.06348087,0.06420000000000001,0.06348087,0.0636,2018-08-21T21:59:10.3430000Z,2018-08-21T21:00:10.0270000Z,2018-08-21T22:00:00.0000000Z,2018-08-21T21:00:00.0000000Z,29,288.55736779
